"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"LTU","GPENSION","MEN","PC_PRERETEARN","A","2018",23.6,
"LTU","GPENSION","MEN","PC_PRERETEARN","A","2020",19.7,
"LTU","GPENSION","WOMEN","PC_PRERETEARN","A","2018",23.6,
"LTU","GPENSION","WOMEN","PC_PRERETEARN","A","2020",19.7,
"MLT","GPENSION","MEN","PC_PRERETEARN","A","2018",38.6,
"MLT","GPENSION","MEN","PC_PRERETEARN","A","2020",57.6,
"MLT","GPENSION","WOMEN","PC_PRERETEARN","A","2018",38.6,
"MLT","GPENSION","WOMEN","PC_PRERETEARN","A","2020",57.6,
"ROU","GPENSION","MEN","PC_PRERETEARN","A","2018",29.5,
"ROU","GPENSION","MEN","PC_PRERETEARN","A","2020",40.6,
"ROU","GPENSION","WOMEN","PC_PRERETEARN","A","2018",28.1,
"ROU","GPENSION","WOMEN","PC_PRERETEARN","A","2020",38,
"SVN","GPENSION","MEN","PC_PRERETEARN","A","2014",38.4,
"SVN","GPENSION","MEN","PC_PRERETEARN","A","2018",38.8,
"SVN","GPENSION","MEN","PC_PRERETEARN","A","2020",42,
"SVN","GPENSION","WOMEN","PC_PRERETEARN","A","2014",40.4,
"SVN","GPENSION","WOMEN","PC_PRERETEARN","A","2018",40.7,
"SVN","GPENSION","WOMEN","PC_PRERETEARN","A","2020",42,
"ARG","GPENSION","MEN","PC_PRERETEARN","A","2014",71.6,
"ARG","GPENSION","MEN","PC_PRERETEARN","A","2018",71.2,
"ARG","GPENSION","MEN","PC_PRERETEARN","A","2020",76.1,
"ARG","GPENSION","WOMEN","PC_PRERETEARN","A","2014",71.5,
"ARG","GPENSION","WOMEN","PC_PRERETEARN","A","2018",64.4,
"ARG","GPENSION","WOMEN","PC_PRERETEARN","A","2020",72.9,
"BRA","GPENSION","MEN","PC_PRERETEARN","A","2014",69.5,
"BRA","GPENSION","MEN","PC_PRERETEARN","A","2018",58.9,
"BRA","GPENSION","MEN","PC_PRERETEARN","A","2020",88.4,
"BRA","GPENSION","WOMEN","PC_PRERETEARN","A","2014",52.9,
"BRA","GPENSION","WOMEN","PC_PRERETEARN","A","2018",46.1,
"BRA","GPENSION","WOMEN","PC_PRERETEARN","A","2020",93.3,
"CHN","GPENSION","MEN","PC_PRERETEARN","A","2014",74,
"CHN","GPENSION","MEN","PC_PRERETEARN","A","2018",71.6,
"CHN","GPENSION","MEN","PC_PRERETEARN","A","2020",71.6,
